[1772590185] [apply_action] freq=500 Hz, last_dt=1995 us
[1772590186] [apply_action] freq=500 Hz, last_dt=1994 us
[1772590187] [apply_action] freq=501 Hz, last_dt=1995 us
[1772590188] [apply_action] freq=500 Hz, last_dt=1980 us
[1772590189] [apply_action] freq=500 Hz, last_dt=2009 us
[1772590190] [apply_action] freq=501 Hz, last_dt=1987 us
[1772590191] [apply_action] freq=501 Hz, last_dt=2015 us
[1772590192] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590193] [apply_action] freq=500 Hz, last_dt=2003 us
[1772590194] [apply_action] freq=500 Hz, last_dt=2009 us
[1772590195] [apply_action] freq=501 Hz, last_dt=2027 us
[1772590196] [apply_action] freq=501 Hz, last_dt=2004 us
[1772590197] [apply_action] freq=501 Hz, last_dt=1975 us
[1772590198] [apply_action] freq=500 Hz, last_dt=2001 us
[1772590199] [apply_action] freq=500 Hz, last_dt=2036 us
[1772590200] [apply_action] freq=500 Hz, last_dt=2003 us
[1772590201] [apply_action] freq=501 Hz, last_dt=2002 us
[1772590202] [apply_action] freq=501 Hz, last_dt=2058 us
[1772590203] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590204] [apply_action] freq=500 Hz, last_dt=1997 us
[1772590205] [apply_action] freq=501 Hz, last_dt=2013 us
[1772590206] [apply_action] freq=501 Hz, last_dt=1979 us
[1772590207] [apply_action] freq=500 Hz, last_dt=2012 us
[1772590208] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590209] [apply_action] freq=500 Hz, last_dt=1994 us
[1772590210] [apply_action] freq=501 Hz, last_dt=2022 us
[1772590211] [apply_action] freq=501 Hz, last_dt=2025 us
[1772590212] [apply_action] freq=501 Hz, last_dt=2018 us
[1772590213] [apply_action] freq=501 Hz, last_dt=2004 us
[1772590214] [apply_action] freq=500 Hz, last_dt=1997 us
[1772590215] [apply_action] freq=500 Hz, last_dt=2031 us
[1772590216] [apply_action] freq=501 Hz, last_dt=2006 us
[1772590217] [apply_action] freq=500 Hz, last_dt=1978 us
[1772590218] [apply_action] freq=500 Hz, last_dt=1992 us
[1772590219] [apply_action] freq=500 Hz, last_dt=1989 us
[1772590220] [apply_action] freq=500 Hz, last_dt=2027 us
[1772590221] [apply_action] freq=501 Hz, last_dt=2039 us
[1772590222] [apply_action] freq=501 Hz, last_dt=1989 us
[1772590223] [apply_action] freq=501 Hz, last_dt=2040 us
[1772590224] [apply_action] freq=501 Hz, last_dt=1964 us
[1772590225] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590226] [apply_action] freq=500 Hz, last_dt=2058 us
[1772590227] [apply_action] freq=501 Hz, last_dt=2011 us
[1772590228] [apply_action] freq=500 Hz, last_dt=1992 us
[1772590229] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590230] [apply_action] freq=500 Hz, last_dt=1959 us
[1772590231] [apply_action] freq=501 Hz, last_dt=2012 us
[1772590232] [apply_action] freq=500 Hz, last_dt=2026 us
[1772590233] [apply_action] freq=501 Hz, last_dt=1992 us
[1772590234] [apply_action] freq=500 Hz, last_dt=2016 us
